"dept_no","emp_no","last_name","first_name","dept_name"
"d007",10002,"Simmel","Bezalel","Sales"
"d007",10016,"Cappelletti","Kazuhito","Sales"
"d007",10034,"Swan","Bader","Sales"
"d007",10041,"Lenart","Uri","Sales"
"d007",10050,"Dredge","Yinghua","Sales"
"d007",10053,"Zschoche","Sanjiv","Sales"
"d007",10060,"Billingsley","Breannda","Sales"
"d007",10061,"Herber","Tse","Sales"
"d007",10068,"Brattka","Charlene","Sales"
"d007",10087,"Eugenio","Xinglin","Sales"
"d007",10088,"Syrzycki","Jungsoon","Sales"
"d007",10089,"Flasterstein","Sudharsan","Sales"
"d007",10093,"Desikan","Sailaja","Sales"
"d007",10095,"Morton","Hilari","Sales"
"d007",10099,"Sullins","Valter","Sales"
"d007",10101,"Heyers","Perla","Sales"
"d007",10107,"Baca","Dung","Sales"
"d007",10125,"Hiltgen","Syozo","Sales"
"d007",10136,"Pintelas","Zissis","Sales"
"d007",10148,"Azumi","Douadi","Sales"
"d007",10149,"Perry","Xiadong","Sales"
"d007",10151,"Lichtner","Itzchak","Sales"
"d007",10160,"Khasidashvili","Debatosh","Sales"
"d007",10178,"Litvinov","Valery","Sales"
"d007",10185,"Sidhu","Duro","Sales"
"d007",10199,"Ranta","Kazuhisa","Sales"
"d007",10209,"Ellozy","Yolla","Sales"
"d007",10214,"Ciolek","Tadahiko","Sales"
"d007",10215,"Duclos","Xiaobin","Sales"
"d007",10226,"Plessier","Xinglin","Sales"
"d007",10228,"Cesareni","Karoline","Sales"
"d007",10232,"Auria","Marko","Sales"
"d007",10234,"Bakhtari","Arunachalam","Sales"
"d007",10236,"Bade","Susumu","Sales"
"d007",10237,"Mandell","Yannis","Sales"
"d007",10243,"Pouyioutas","Wonhee","Sales"
"d007",10248,"Tempesti","Frederique","Sales"
"d007",10253,"Salinas","Zsolt","Sales"
"d007",10254,"Brattka","Shen","Sales"
"d007",10256,"Radhakrishnan","Irene","Sales"
"d007",10262,"Maraist","Mahendra","Sales"
"d007",10270,"Hartvigsen","Bedir","Sales"
"d007",10273,"Lieblein","Baocai","Sales"
"d007",10277,"Schwartzbauer","Isaac","Sales"
"d007",10291,"Seghrouchni","Dipayan","Sales"
"d007",10292,"Ghelli","Yucel","Sales"
"d007",10296,"Lorho","Petter","Sales"
"d007",10299,"Stentiford","Ipke","Sales"
"d007",10302,"Baer","Faiza","Sales"
"d007",10304,"Erie","Bernt","Sales"
"d007",10306,"Kilgour","Heng","Sales"
"d007",10308,"Holburn","Dzung","Sales"
"d007",10314,"Apsitis","Christfried","Sales"
"d007",10319,"Miyakawa","Mechthild","Sales"
"d007",10320,"Stasinski","Uinam","Sales"
"d007",10321,"Ravishankar","Guenter","Sales"
"d007",10330,"Bellmore","Kasturi","Sales"
"d007",10331,"Binkley","Arto","Sales"
"d007",10335,"Bahi","Toshimori","Sales"
"d007",10346,"Radwan","Aamod","Sales"
"d007",10355,"Cochrane","Satyanarayana","Sales"
"d007",10361,"Sidou","Seshu","Sales"
"d007",10369,"Toyoshima","Qunsheng","Sales"
"d007",10370,"Fandrianto","Clyde","Sales"
"d007",10374,"Rosin","Willard","Sales"
"d007",10375,"Kalafatis","Dante","Sales"
"d007",10378,"Lichtner","Takahira","Sales"
"d007",10380,"Kamble","Alejandro","Sales"
"d007",10388,"Kaiser","Hironoby","Sales"
"d007",10398,"Escriba","Shooichi","Sales"
"d007",10399,"Marchegay","Guenter","Sales"
"d007",10400,"Nitto","Ortrud","Sales"
"d007",10403,"Mungall","Atreyi","Sales"
"d007",10407,"Siepmann","Ulf","Sales"
"d007",10408,"Kaiser","Martijn","Sales"
"d007",10410,"Gecsei","Takahito","Sales"
"d007",10411,"Klerer","Lidong","Sales"
"d007",10417,"Bakhtari","Bingning","Sales"
"d007",10427,"Sudbeck","Khosrow","Sales"
"d007",10431,"Bugrara","Patricio","Sales"
"d007",10442,"Unno","Volkmar","Sales"
"d007",10444,"Rosis","Kazuhira","Sales"
"d007",10448,"Oxenboll","Phule","Sales"
"d007",10449,"Sudkamp","Aleksandar","Sales"
"d007",10454,"Badr","Wonhee","Sales"
"d007",10455,"Streng","Sverrir","Sales"
"d007",10458,"Engelmann","Gina","Sales"
"d007",10461,"Karcich","Gal","Sales"
"d007",10463,"Zaiane","Ung","Sales"
"d007",10468,"Shobatake","Yoshimitsu","Sales"
"d007",10472,"Lodder","Salvador","Sales"
"d007",10490,"Vuskovic","Huiqun","Sales"
"d007",10493,"Haraldson","Maris","Sales"
"d007",10499,"Luft","Maik","Sales"
"d007",10504,"Varker","Xiong","Sales"
"d007",10505,"Auria","Isamu","Sales"
"d007",10509,"Riesenhuber","Abdelwaheb","Sales"
"d007",10510,"Slobodova","Keung","Sales"
"d007",10515,"Kirkerud","Raimond","Sales"
"d007",10517,"Speek","Tiina","Sales"
"d007",10521,"Setia","Kwangsub","Sales"
"d007",10525,"Lunt","Yuchang","Sales"
"d007",10532,"Wossner","Mary","Sales"
"d007",10533,"Smailagic","Mohamadou","Sales"
"d007",10536,"Sambasivam","Yechiam","Sales"
"d007",10537,"Benzmuller","Stella","Sales"
"d007",10539,"Reinhard","Yucel","Sales"
"d007",10541,"Eiter","Godehard","Sales"
"d007",10548,"Gunderson","Ramalingam","Sales"
"d007",10555,"Picci","Vitaly","Sales"
"d007",10559,"Comellas","Arumugam","Sales"
"d007",10561,"Joslin","Serge","Sales"
"d007",10567,"Journel","Dietrich","Sales"
"d007",10568,"Poulakidas","Gao","Sales"
"d007",10570,"Morrin","Alassane","Sales"
"d007",10573,"Speel","Tetsushi","Sales"
"d007",10592,"Alvarado","Almudena","Sales"
"d007",10596,"Coors","Sanjit","Sales"
"d007",10597,"Schaad","Lucien","Sales"
"d007",10600,"Rettelbach","Emran","Sales"
"d007",10603,"Restivo","Wayne","Sales"
"d007",10616,"Marwedel","Tommaso","Sales"
"d007",10619,"Kusakabe","Vivian","Sales"
"d007",10629,"Francisci","Lalit","Sales"
"d007",10633,"Herber","Sorina","Sales"
"d007",10637,"Frolund","Heejo","Sales"
"d007",10638,"Borovoy","Jenwei","Sales"
"d007",10640,"Meszaros","Anneke","Sales"
"d007",10644,"Benaini","Pranas","Sales"
"d007",10655,"Dalton","Remko","Sales"
"d007",10670,"McAffer","Shunichi","Sales"
"d007",10681,"Garnier","Florina","Sales"
"d007",10692,"Bage","Larisa","Sales"
"d007",10701,"Zolotykh","Hyuncheol","Sales"
"d007",10705,"Wynblatt","Hironobu","Sales"
"d007",10710,"Kermarrec","Sorina","Sales"
"d007",10725,"Isard","Garnet","Sales"
"d007",10744,"Syang","Yaghout","Sales"
"d007",10754,"Feinberg","Chenyi","Sales"
"d007",10765,"Norsworthy","Goetz","Sales"
"d007",10767,"Doering","Monique","Sales"
"d007",10770,"Perry","Bedir","Sales"
"d007",10788,"Ullian","Frazer","Sales"
"d007",10795,"Naudin","Supot","Sales"
"d007",10804,"Benantar","Terresa","Sales"
"d007",10807,"Zallocco","Munehiro","Sales"
"d007",10810,"Lunn","Lijie","Sales"
"d007",10813,"Shumilov","Shalesh","Sales"
"d007",10814,"Dymetman","Nidapan","Sales"
"d007",10817,"Rullman","Uri","Sales"
"d007",10828,"Gammage","Godehard","Sales"
"d007",10832,"Bergere","Hidde","Sales"
"d007",10836,"Leivant","Jianhua","Sales"
"d007",10837,"Karlin","Chuanti","Sales"
"d007",10855,"Reinhart","Kwangho","Sales"
"d007",10857,"Stenning","Fusako","Sales"
"d007",10862,"Kadhim","Zhenbing","Sales"
"d007",10864,"Spieker","Elliott","Sales"
"d007",10865,"Etalle","Danco","Sales"
"d007",10876,"Papastamatiou","Vincent","Sales"
"d007",10878,"Deville","Lakshmi","Sales"
"d007",10885,"Cronau","Rayond","Sales"
"d007",10889,"Coors","Cheong","Sales"
"d007",10890,"Furudate","Ramzi","Sales"
"d007",10895,"Petersohn","Vishwani","Sales"
"d007",10897,"Kumaresan","Arno","Sales"
"d007",10906,"Carrere","Munehiro","Sales"
"d007",10914,"Prochazka","Mizuhito","Sales"
"d007",10922,"Wossner","Kyoichi","Sales"
"d007",10923,"Maquelin","Younwoo","Sales"
"d007",10924,"Atchley","Hironoby","Sales"
"d007",10953,"Laventhal","Jahangir","Sales"
"d007",10955,"Danley","Urs","Sales"
"d007",10957,"Schnabel","Duke","Sales"
"d007",10959,"Vigier","Kerryn","Sales"
"d007",10960,"Braunschweig","Billur","Sales"
"d007",10962,"Kugler","Naraig","Sales"
"d007",10965,"Braunschweig","Eckart","Sales"
"d007",10968,"Kolinko","Lakshmi","Sales"
"d007",10977,"Murrill","Toong","Sales"
"d007",10981,"Dulin","Sugwoo","Sales"
"d007",10996,"Rahimi","Matk","Sales"
"d007",10998,"Kandlur","Marlo","Sales"
"d007",11002,"Ulupinar","Bluma","Sales"
"d007",11008,"Menhoudj","Gennady","Sales"
"d007",11009,"Axelband","Alper","Sales"
"d007",11015,"Riesenhuber","Jeanna","Sales"
"d007",11022,"Pintelas","Apostol","Sales"
"d007",11023,"Driscoll","Yifei","Sales"
"d007",11024,"Collavizza","Manton","Sales"
"d007",11029,"Itzfeldt","Georgi","Sales"
"d007",11030,"Hellwagner","Kwan","Sales"
"d007",11044,"Cherinka","Elvia","Sales"
"d007",11048,"Demke","Jaques","Sales"
"d007",11049,"Apsitis","Gift","Sales"
"d007",11055,"Neiman","Shaleah","Sales"
"d007",11056,"Speel","Palash","Sales"
"d007",11057,"Vural","Adly","Sales"
"d007",11060,"Pokrovskii","Genevieve","Sales"
"d007",11061,"Erni","Pintsang","Sales"
"d007",11086,"Dalphin","Yishai","Sales"
"d007",11089,"Henders","Conal","Sales"
"d007",11092,"Stamatiou","Narain","Sales"
"d007",11097,"Rissanen","Jovan","Sales"
"d007",11099,"Spataro","Woody","Sales"
"d007",11102,"Carrera","Bernardo","Sales"
"d007",11109,"Stamatiou","Chinho","Sales"
"d007",11120,"Curless","Masato","Sales"
"d007",11124,"Porenta","Gladys","Sales"
"d007",11144,"Heinisuo","Carrsten","Sales"
"d007",11146,"Masand","Ishfaq","Sales"
"d007",11149,"Imataki","Domenico","Sales"
"d007",11150,"Garigliano","Geraldo","Sales"
"d007",11155,"Yetto","Moon","Sales"
"d007",11159,"Schlenzig","Becky","Sales"
"d007",11163,"Huttel","Djenana","Sales"
"d007",11164,"Limongiello","Alain","Sales"
"d007",11168,"Tetzlaff","Shmuel","Sales"
"d007",11172,"Sudkamp","Kristian","Sales"
"d007",11189,"Bodoff","Dante","Sales"
"d007",11190,"Mellouli","Saeko","Sales"
"d007",11197,"Fordan","Tadahiro","Sales"
"d007",11198,"Gini","Leif","Sales"
"d007",11205,"Ebeling","Tayeb","Sales"
"d007",11206,"Sury","Steen","Sales"
"d007",11212,"Peternell","Teruyuki","Sales"
"d007",11214,"Ibel","Elgin","Sales"
"d007",11222,"Neimat","Yishai","Sales"
"d007",11226,"Akiyama","Margareta","Sales"
"d007",11237,"Salinas","Brendon","Sales"
"d007",11239,"Kenevan","Gurbir","Sales"
"d007",11241,"Clemencon","Yolla","Sales"
"d007",11248,"Tsukuda","Uinam","Sales"
"d007",11254,"Rindone","Danel","Sales"
"d007",11256,"Ratzlaff","Gudjon","Sales"
"d007",11259,"Gronowski","Amalendu","Sales"
"d007",11269,"Slutz","Garnik","Sales"
"d007",11271,"Rajaraman","Hidde","Sales"
"d007",11272,"Molenkamp","Frederique","Sales"
"d007",11282,"Schaad","Josyula","Sales"
"d007",11286,"Gini","Joydip","Sales"
"d007",11288,"Eastman","Domenico","Sales"
"d007",11302,"Senzako","Shem","Sales"
"d007",11306,"Reeken","Subhankar","Sales"
"d007",11307,"Dratva","Mohd","Sales"
"d007",11310,"Swab","Jianhua","Sales"
"d007",11315,"Meriste","Neven","Sales"
"d007",11318,"Unno","Gopalakrishnan","Sales"
"d007",11328,"Ferriere","Xiong","Sales"
"d007",11329,"McConalogue","Limsoon","Sales"
"d007",11334,"Vural","Yurij","Sales"
"d007",11338,"Hanratty","Kwangsub","Sales"
"d007",11344,"Gulak","Paddy","Sales"
"d007",11353,"Berztiss","Utpal","Sales"
"d007",11359,"Jayawardene","Subhrajyoti","Sales"
"d007",11360,"Schach","Fen","Sales"
"d007",11372,"Vilarrasa","Susanta","Sales"
"d007",11377,"Rosti","Dayanand","Sales"
"d007",11389,"Provine","Ronnie","Sales"
"d007",11401,"Merey","Huan","Sales"
"d007",11402,"Brizzi","Freyja","Sales"
"d007",11412,"Demeyer","Werner","Sales"
"d007",11427,"Iisaka","Haldun","Sales"
"d007",11429,"Kaminger","Nagui","Sales"
"d007",11430,"Klassen","Georgi","Sales"
"d007",11441,"Aingworth","Marlo","Sales"
"d007",11443,"Nivat","Szabolcs","Sales"
"d007",11468,"Maksimenko","Navin","Sales"
"d007",11472,"Ghandeharizadeh","Constantino","Sales"
"d007",11478,"Ginneken","Nidapan","Sales"
"d007",11480,"Itschner","Masoud","Sales"
"d007",11482,"Deverell","Uri","Sales"
"d007",11483,"Mateescu","Zine","Sales"
"d007",11484,"Siepmann","Holgard","Sales"
"d007",11486,"Ramaiah","Itzchak","Sales"
"d007",11493,"Sevcikova","Shen","Sales"
"d007",11495,"Barriga","Shin","Sales"
"d007",11506,"Picel","Rance","Sales"
"d007",11515,"Basawa","Ulf","Sales"
"d007",11519,"Chinen","Halsur","Sales"
"d007",11521,"Eastman","Eldridge","Sales"
"d007",11530,"Jarecki","Oscar","Sales"
"d007",11535,"Ohori","Aemilian","Sales"
"d007",11537,"Pehl","DAIDA","Sales"
"d007",11546,"Vuskovic","Duro","Sales"
"d007",11547,"Flexer","Kyoichi","Sales"
"d007",11552,"Ferretti","Tommaso","Sales"
"d007",11556,"Hashii","Masasuke","Sales"
"d007",11557,"Pesch","Candido","Sales"
"d007",11567,"Mitzlaff","Teiji","Sales"
"d007",11579,"Merel","Jinxi","Sales"
"d007",11586,"Orsini","Shridhar","Sales"
"d007",11594,"Butner","Pradeep","Sales"
"d007",11601,"Ritzmann","Erez","Sales"
"d007",11609,"Marrakchi","Sigeru","Sales"
"d007",11611,"Mateescu","Annemarie","Sales"
"d007",11615,"Isaak","Shem","Sales"
"d007",11618,"Juneja","Gian","Sales"
"d007",11619,"Ozeki","Taiji","Sales"
"d007",11621,"Baaleh","Ottavia","Sales"
"d007",11632,"Bach","Baoqiu","Sales"
"d007",11659,"Pileggi","Tremaine","Sales"
"d007",11660,"Stenning","Gill","Sales"
